id,Name,Team,Position,Expert Rank
5daf3960-25f3-402a-800a-41f8ae4c38b5,Jahmyr Gibbs,DET,RB,1.43
25cbfc55-cb8a-4589-85de-e91870f65952,Bijan Robinson,ATL,RB,1.57
e05bf051-69f3-4483-8ce3-20b365a19cac,Ja'Marr Chase,CIN,WR,3.00
cedb5dc7-eb8d-4928-bf85-aea13ee90967,Puka Nacua,LAR,WR,4.00
ad8c9f6a-fee3-4edf-95a9-83208575555e,Jaxon Smith-Njigba,SEA,WR,5.14
22bb912e-3c0d-498f-8ef9-86d332d90e1b,Christian McCaffrey,SF,RB,7.00
da561afd-b293-4e29-8986-fe658247131d,Amon-Ra St. Brown,DET,WR,7.14
c34627c5-0225-45a3-b729-c49827bf5a8e,Jonathan Taylor,IND,RB,9.00
3ccbc4c7-afff-4477-93c6-10c823f53098,Justin Jefferson,MIN,WR,10.00
21ec9ffa-959e-4e5e-8d64-88776b1b4150,CeeDee Lamb,DAL,WR,10.14
60d2284c-5727-4476-8eaa-fa734e0d9f01,James Cook,BUF,RB,12.29
9f4b0912-cb1e-4d16-b82b-45b05b012839,Ashton Jeanty,LV,RB,12.29
3ab31e43-ec23-46c5-b59d-b3850ad1ae3a,Devon Achane,MIA,RB,13.29
87e96674-63b1-4d0d-bc76-32e0d9327539,Omarion Hampton,LAC,RB,14.57
6ed8fa4f-065c-4166-bd39-81555e655948,Chase Brown,CIN,RB,14.71
674152bc-219e-4a7e-88e1-0b7bab267127,Saquon Barkley,PHI,RB,16.00
2b821176-4aeb-4159-b49e-c87dfc4a25d9,Drake London,ATL,WR,16.43
57c18f3f-4ec5-4e23-9fb1-ea9b9d35ea95,Kenneth Walker,KC,RB,16.86
9eafc1c1-9dcf-40c6-a66c-10a04e720600,Derrick Henry,BAL,RB,20.00
1cc09dd6-2918-4379-b17a-562dc04857c5,Jeremiyah Love,ARI,RB,22.14
d7fc5a7b-bbb5-4b53-a9d4-58780f9d3ba1,A.J. Brown,NE,WR,22.29
02c7a4a9-1a8c-43b9-9b1c-d3eba62cfa47,George Pickens,DAL,WR,23.86
bcd9dd40-142a-4f3c-b47e-654117d32658,Nico Collins,HOU,WR,25.00
15a3bde4-5f94-46b8-9b44-928336c230fd,Breece Hall,NYJ,RB,26.86
83a1c1dd-93ee-4997-ae2b-139466d923ed,Chris Olave,NO,WR,27.71
1f6e0b0d-f18a-41cd-8df6-18d49ef463c1,Rashee Rice,KC,WR,29.29
c07c6a7e-5738-4d6d-9cc6-5e8ce3707358,Malik Nabers,NYG,WR,32.00
41e96471-3191-4cbd-966d-e240e1b3deeb,DeVonta Smith,PHI,WR,32.00
38b6b4a2-35c6-47c8-9f89-758091b3a630,Javonte Williams,DAL,RB,32.57
03e908d2-14b1-49ed-a6e6-56e41a5e9988,Kyren Williams,LAR,RB,34.14
6f55c5db-6322-482c-a15b-4d659d3bb07d,Tee Higgins,CIN,WR,34.86
64d36d44-e477-496c-8250-80bc47e1d6d6,Travis Etienne,NO,RB,36.29
e75fdadf-f9d2-44d5-8f0b-2308f7b00ab0,Zay Flowers,BAL,WR,36.57
35636630-0a9c-41d1-a63e-14c33291ebf7,Emeka Egbuka,TB,WR,39.00
a3a3a72e-899e-4bbb-962d-dd308af3a320,Tetairoa McMillan,CAR,WR,39.14
473889a2-a6c7-4912-9c96-1665a08877e1,Garrett Wilson,NYJ,WR,39.29
01714e65-49e3-4185-8e4a-6a7ae051d5bf,Josh Jacobs,GB,RB,40.86
56790984-c8f7-499a-a5cd-74c77b38028c,Ladd McConkey,LAC,WR,40.86
fdd6ca8b-286d-4eb3-86e0-d2f970f6fa9c,Jaylen Waddle,DEN,WR,43.43
667ca3ed-1519-414d-83e0-30bf2dc21162,Luther Burden,CHI,WR,44.00
081d65a4-1d29-40ff-9ca1-dabad6887ff2,Cam Skattebo,NYG,RB,44.29
c06c8642-d1d0-4df1-8254-ee4e0ea70c5f,Terry McLaurin,WAS,WR,47.14
61dc9c11-cbf2-4508-bc17-54da23abfb8d,Davante Adams,LAR,WR,47.57
fed6c701-5437-4965-b008-d65eb8280fea,Mike Evans,SF,WR,48.71
54ddd66e-ce84-4ff8-979d-6cc9e1ff78ff,TreVeyon Henderson,NE,RB,50.29
3e1631ff-095d-431f-9df2-e30c87ace2b0,Jameson Williams,DET,WR,51.14
9853a3b5-067e-4aee-9388-4e21fa09d7d9,Bucky Irving,TB,RB,52.29
c7bcbb9b-7598-4810-982a-bfd189daf987,Jadarian Price,SEA,RB,53.57
dc3bcebb-9e77-437c-9f51-57548947a981,D'Andre Swift,CHI,RB,54.14
4b14baf1-115c-4fde-b12b-fa3ec53ab612,David Montgomery,HOU,RB,54.71
6e351f30-740b-4649-b1c3-28b52f7ee0a4,Bhayshul Tuten,JAX,RB,56.57
89d88336-52d9-468c-bbe3-c1167c2e7819,Carnell Tate,TEN,WR,56.86
e91cddd5-487d-4d8b-8131-c85691917e82,Rome Odunze,CHI,WR,57.71
719db736-34b5-4990-ae8a-86d851f9eb37,Quinshon Judkins,CLE,RB,58.71
ac9035c0-d09b-4223-8db3-76c7994fd11a,Brian Thomas,JAX,WR,59.57
00d5b7d1-4bbd-4b38-8f4b-b40348f13e55,DJ Moore,BUF,WR,59.71
42a418b0-461c-4841-9c74-8f4a3547239c,Christian Watson,GB,WR,63.57
7d59fc1e-990c-4002-994f-3c5e32b058ca,Jordyn Tyson,NO,WR,65.29
d407419c-8b2a-4590-b343-2f813554d6e0,Marvin Harrison,ARI,WR,67.43
11818a85-2fd9-4efd-aba2-bb18fc46a486,Makai Lemon,PHI,WR,71.00
942801d0-c4ad-4d2b-b971-34cc675ed8f8,Chuba Hubbard,CAR,RB,73.29
41bac526-b103-4a40-9142-dcef21e5da72,Jaylen Warren,PIT,RB,76.33
4aed4cc8-9362-4dd7-a829-1b2d891c445a,Alec Pierce,IND,WR,76.86
b63d54a7-769e-4dd3-8ba8-bc1e865afc2f,Tony Pollard,TEN,RB,81.14
cf099f63-ced6-4321-9a10-2b3ef7692315,Jordan Addison,MIN,WR,82.86
e46168ce-4da2-4a27-8ccd-8a986b4f5e3a,DK Metcalf,PIT,WR,83.00
017da9b8-968f-4baa-858f-d8bbf32373ee,Rhamondre Stevenson,NE,RB,83.86
c8b20835-6103-48bb-bf86-dfbb883649d5,Courtland Sutton,DEN,WR,86.86
9e061e7d-b8a9-4457-903c-59e107eaea12,Michael Wilson,ARI,WR,87.29
9ecd93f6-17dd-447b-96b7-8d54ca4ca886,Michael Pittman,PIT,WR,89.57
dd7ba07b-e45a-4e8a-af56-8123a2ec1e8e,Quentin Johnston,LAC,WR,91.57
877b2b95-1014-448a-9255-a4ec6dad9330,Chris Godwin,TB,WR,92.43
8b881421-a482-4cae-83bd-a19a96ec5eda,Rico Dowdle,PIT,RB,93.43
b1f2f8ae-4b05-4a35-b9fb-6f5a6853e2eb,Rachaad White,WAS,RB,94.86
a7519d55-5b58-4b16-a1ca-dce4c21ab284,Kyle Monangai,CHI,RB,98.00
ef35a5ca-57be-43d7-a55b-d4d568091425,Jayden Reed,GB,WR,98.43
8abc1bed-0838-40ba-8959-45444bf778a5,RJ Harvey,DEN,RB,98.86
f2a26eb3-26f1-4b6a-ae58-42c5ea9341e8,J.K. Dobbins,DEN,RB,100.00
13a35139-f4c3-4f11-a2ee-13e427f57852,Parker Washington,JAX,WR,100.86
eb7d78fd-a58f-49f4-a5c6-6e75cf6903c0,Aaron Jones,MIN,RB,100.86
48fe455e-166b-42f0-8c77-9b6a9d03d251,Wan'Dale Robinson,TEN,WR,102.29
0b41b52c-c6f3-43bd-a655-35023705d92e,KC Concepcion,CLE,WR,103.71
4d1e8598-7702-473b-aa6d-d9700db305ce,Ricky Pearsall,SF,WR,104.43
fbe947d5-246f-4e65-9c82-fe7480240b81,Blake Corum,LAR,RB,104.43
0ceab1e0-16a3-42ce-9607-b5bdaf4697b2,Jakobi Meyers,JAX,WR,104.86
609c7ac6-7a6a-49e2-bc37-6ad755dc8513,Xavier Worthy,KC,WR,105.43
e97d1607-52ac-43a6-80f0-a630cab1e74b,Josh Downs,IND,WR,108.71
d83ad27b-1a9b-49ac-984e-49453f424c9f,Kenneth Gainwell,TB,RB,109.29
b44b6d29-a02e-48ae-9b60-1f2202464ba9,Jonathon Brooks,CAR,RB,112.29
86e4ae73-0fb9-4cbe-a457-71f3f7ea2a22,Travis Hunter,JAX,WR,116.29
28528dbe-2b54-4e90-8daf-b40ff16f4fcb,Romeo Doubs,NE,WR,116.86
d18a8c9c-dc6a-4ed2-af27-a631c40f0cb2,Jacory Croskey-Merritt,WAS,RB,117.86
3eabec6e-44d1-4e00-b975-7981b019494e,Matthew Golden,GB,WR,118.43
c000c35b-ea8d-43de-9952-9814ce4eb887,Jayden Higgins,HOU,WR,121.29
b079ce97-bdb3-4e94-b739-e7ba71472c39,Jordan Mason,MIN,RB,123.29
a0dcb808-0e55-4c54-b3cb-7e7cf245840b,Chris Rodriguez,JAX,RB,125.29
4efc8624-dc36-4242-b1cb-0cc6d3862174,Stefon Diggs,,WR,129.40
9b6b5dd5-bcdf-4155-aa42-9b6c948e851e,Omar Cooper Jr.,NYJ,WR,130.57
a84c94e2-eaef-4db4-b83d-08c6c6156581,Khalil Shakir,BUF,WR,131.14
03132f54-3982-4620-8495-c8fb6ec423f8,Jalen Coker,CAR,WR,131.86
8346d01a-e5c5-46c8-bb8d-90e142e9926c,Tyrone Tracy,NYG,RB,135.29
e77fc2ba-9f10-418d-8133-14b993d3f59e,Jonah Coleman,DEN,RB,140.29
3f365df5-b74c-451c-a67d-e3ad460752aa,Woody Marks,HOU,RB,143.29
